molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL187579,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C#N)ccc21,IC50,7200.0,nM,5.14,,CHEMBL829584,9,CHEMBL3927,CHEMBL1139624,7wqi,P0C6U8
CHEMBL188487,O=C1C(=O)N(Cc2ccc(F)cc2Cl)c2ccc(I)cc21,IC50,9400.0,nM,5.03,,CHEMBL829584,9,CHEMBL3927,CHEMBL1139624,7wqi,P0C6U8
CHEMBL185698,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,IC50,13500.0,nM,4.87,,CHEMBL830868,9,CHEMBL3927,CHEMBL1139624,7wqi,P0C6U8
CHEMBL426082,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,IC50,13110.0,nM,4.88,,CHEMBL829584,9,CHEMBL3927,CHEMBL1139624,7wqi,P0C6U8
CHEMBL187717,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c1cccc2[N+](=O)[O-],IC50,2000.0,nM,5.7,,CHEMBL829584,9,CHEMBL3927,CHEMBL1139624,7wqi,P0C6U8
CHEMBL365134,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,IC50,980.0,nM,6.01,,CHEMBL828143,9,CHEMBL3927,CHEMBL1139624,7wqi,P0C6U8
CHEMBL187598,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(F)cc21,IC50,4820.0,nM,5.32,,CHEMBL829584,9,CHEMBL3927,CHEMBL1139624,7wqi,P0C6U8
CHEMBL190743,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,IC50,950.0,nM,6.02,,CHEMBL829584,9,CHEMBL3927,CHEMBL1139624,7wqi,P0C6U8
CHEMBL365469,O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,IC50,11200.0,nM,4.95,,CHEMBL829584,9,CHEMBL3927,CHEMBL1139624,7wqi,P0C6U8
CHEMBL188983,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,IC50,23500.0,nM,4.63,,CHEMBL829584,9,CHEMBL3927,CHEMBL1139624,7wqi,P0C6U8
CHEMBL191575,O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,IC50,12570.0,nM,4.9,,CHEMBL829584,9,CHEMBL3927,CHEMBL1139624,7wqi,P0C6U8
CHEMBL370923,O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,IC50,17500.0,nM,4.76,,CHEMBL829584,9,CHEMBL3927,CHEMBL1139624,7wqi,P0C6U8
CHEMBL194398,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,IC50,45000.0,nM,4.35,,CHEMBL880249,9,CHEMBL3927,CHEMBL1141032,7wqi,P0C6U8
CHEMBL196635,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,IC50,70000.0,nM,4.16,,CHEMBL880249,9,CHEMBL3927,CHEMBL1141032,7wqi,P0C6U8
CHEMBL209287,CCCCN1C(=O)C(=O)c2cc(I)ccc21,IC50,66000.0,nM,4.18,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL209287,CCCCN1C(=O)C(=O)c2cc(I)ccc21,IC50,66000.0,nM,4.18,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL209287,CCCCN1C(=O)C(=O)c2cc(I)ccc21,IC50,66000.0,nM,4.18,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL358279,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,IC50,370.0,nM,6.43,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL358279,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,IC50,370.0,nM,6.43,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL358279,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,IC50,370.0,nM,6.43,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL348660,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,IC50,12500.0,nM,4.9,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL348660,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,IC50,12500.0,nM,4.9,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL348660,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,IC50,12500.0,nM,4.9,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL379727,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,IC50,19000.0,nM,4.72,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL379727,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,IC50,19000.0,nM,4.72,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL379727,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,IC50,19000.0,nM,4.72,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL210525,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,IC50,25000.0,nM,4.6,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL210525,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,IC50,25000.0,nM,4.6,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL210525,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,IC50,25000.0,nM,4.6,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL148483,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,IC50,71000.0,nM,4.15,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL148483,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,IC50,71000.0,nM,4.15,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL148483,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,IC50,71000.0,nM,4.15,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL383725,O=C1C(=O)N(Cc2ccc3ccccc3c2)c2ccc(I)cc21,IC50,1100.0,nM,5.96,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL383725,O=C1C(=O)N(Cc2ccc3ccccc3c2)c2ccc(I)cc21,IC50,1100.0,nM,5.96,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL383725,O=C1C(=O)N(Cc2ccc3ccccc3c2)c2ccc(I)cc21,IC50,1100.0,nM,5.96,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL118596,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,IC50,50000.0,nM,4.3,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL118596,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,IC50,50000.0,nM,4.3,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL118596,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,IC50,50000.0,nM,4.3,,CHEMBL868157,9,CHEMBL3927,CHEMBL1148529,7wqi,P0C6U8
CHEMBL208732,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,IC50,3019.95,nM,5.52,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL208732,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,IC50,3019.95,nM,5.52,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL208732,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,IC50,3000.0,nM,5.52,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL208732,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,IC50,3000.0,nM,5.52,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210146,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,IC50,301995.17,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210146,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,IC50,301995.17,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210146,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,IC50,300000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210146,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,IC50,300000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207458,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,IC50,251188.64,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207458,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,IC50,251188.64,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207458,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,IC50,250000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207458,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,IC50,250000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207484,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,IC50,204173.79,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207484,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,IC50,204173.79,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207484,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,IC50,200000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207484,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,IC50,200000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207207,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,IC50,100000.0,nM,4.0,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207207,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,IC50,100000.0,nM,4.0,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207207,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,IC50,100000.0,nM,4.0,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207207,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,IC50,100000.0,nM,4.0,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210487,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,IC50,60255.96,nM,4.22,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210487,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,IC50,60255.96,nM,4.22,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210487,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,IC50,60000.0,nM,4.22,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210487,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,IC50,60000.0,nM,4.22,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL380470,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC,IC50,45708.82,nM,4.34,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL380470,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC,IC50,45708.82,nM,4.34,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL380470,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC,IC50,45000.0,nM,4.35,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL380470,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC,IC50,45000.0,nM,4.35,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210612,CC(C)c1ccc(NC(=O)CSc2nccc(-c3cccs3)n2)cc1,IC50,40738.03,nM,4.39,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210612,CC(C)c1ccc(NC(=O)CSc2nccc(-c3cccs3)n2)cc1,IC50,40738.03,nM,4.39,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210612,CC(C)c1ccc(NC(=O)CSc2nccc(-c3cccs3)n2)cc1,IC50,40000.0,nM,4.4,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210612,CC(C)c1ccc(NC(=O)CSc2nccc(-c3cccs3)n2)cc1,IC50,40000.0,nM,4.4,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL209667,O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1,IC50,15135.61,nM,4.82,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL209667,O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1,IC50,15135.61,nM,4.82,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL209667,O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1,IC50,15000.0,nM,4.82,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL209667,O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1,IC50,15000.0,nM,4.82,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210097,O=C(CSc1nccc(-c2cc(-c3ccc(Cl)cc3Cl)no2)n1)Nc1ccc(C(F)(F)F)cc1,IC50,15135.61,nM,4.82,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210097,O=C(CSc1nccc(-c2cc(-c3ccc(Cl)cc3Cl)no2)n1)Nc1ccc(C(F)(F)F)cc1,IC50,15135.61,nM,4.82,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210097,O=C(CSc1nccc(-c2cc(-c3ccc(Cl)cc3Cl)no2)n1)Nc1ccc(C(F)(F)F)cc1,IC50,15000.0,nM,4.82,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210097,O=C(CSc1nccc(-c2cc(-c3ccc(Cl)cc3Cl)no2)n1)Nc1ccc(C(F)(F)F)cc1,IC50,15000.0,nM,4.82,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL378674,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccccc2Cl)n1,IC50,12022.64,nM,4.92,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL378674,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccccc2Cl)n1,IC50,12022.64,nM,4.92,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL378674,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccccc2Cl)n1,IC50,12000.0,nM,4.92,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL378674,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccccc2Cl)n1,IC50,12000.0,nM,4.92,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210216,Cc1nc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc(O)c1C,IC50,1000000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210216,Cc1nc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc(O)c1C,IC50,1000000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210216,Cc1nc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc(O)c1C,IC50,1000000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210216,Cc1nc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc(O)c1C,IC50,1000000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210195,Cc1cc(C(F)(F)F)nc(SCC(=O)Nc2ccc(Cl)cc2F)n1,IC50,501187.23,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210195,Cc1cc(C(F)(F)F)nc(SCC(=O)Nc2ccc(Cl)cc2F)n1,IC50,501187.23,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210195,Cc1cc(C(F)(F)F)nc(SCC(=O)Nc2ccc(Cl)cc2F)n1,IC50,500000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210195,Cc1cc(C(F)(F)F)nc(SCC(=O)Nc2ccc(Cl)cc2F)n1,IC50,500000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210437,COc1ccc(-c2ccnc(SCC(=O)Nc3ccc(C(C)C)cc3)n2)cc1,IC50,407380.28,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210437,COc1ccc(-c2ccnc(SCC(=O)Nc3ccc(C(C)C)cc3)n2)cc1,IC50,407380.28,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210437,COc1ccc(-c2ccnc(SCC(=O)Nc3ccc(C(C)C)cc3)n2)cc1,IC50,400000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210437,COc1ccc(-c2ccnc(SCC(=O)Nc3ccc(C(C)C)cc3)n2)cc1,IC50,400000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL378677,CC(C)(C)c1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)cc1,IC50,354813.39,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL378677,CC(C)(C)c1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)cc1,IC50,354813.39,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL378677,CC(C)(C)c1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)cc1,IC50,350000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL378677,CC(C)(C)c1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)cc1,IC50,350000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210972,CC(Sc1nc(O)c(C#N)c(-c2ccccc2)n1)C(=O)Nc1ccc(Cl)cc1,IC50,301995.17,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210972,CC(Sc1nc(O)c(C#N)c(-c2ccccc2)n1)C(=O)Nc1ccc(Cl)cc1,IC50,301995.17,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210972,CC(Sc1nc(O)c(C#N)c(-c2ccccc2)n1)C(=O)Nc1ccc(Cl)cc1,IC50,300000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210972,CC(Sc1nc(O)c(C#N)c(-c2ccccc2)n1)C(=O)Nc1ccc(Cl)cc1,IC50,300000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210145,CCOc1ccc(N2C(=O)CC(Sc3nc(C)cc(C)n3)C2=O)cc1,IC50,301995.17,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210145,CCOc1ccc(N2C(=O)CC(Sc3nc(C)cc(C)n3)C2=O)cc1,IC50,301995.17,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210145,CCOc1ccc(N2C(=O)CC(Sc3nc(C)cc(C)n3)C2=O)cc1,IC50,300000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210145,CCOc1ccc(N2C(=O)CC(Sc3nc(C)cc(C)n3)C2=O)cc1,IC50,300000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL377225,N#Cc1c(O)nc(SCC(=O)Nc2cccc(C(F)(F)F)c2)nc1-c1ccccc1,IC50,204173.79,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL377225,N#Cc1c(O)nc(SCC(=O)Nc2cccc(C(F)(F)F)c2)nc1-c1ccccc1,IC50,204173.79,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL377225,N#Cc1c(O)nc(SCC(=O)Nc2cccc(C(F)(F)F)c2)nc1-c1ccccc1,IC50,200000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL377225,N#Cc1c(O)nc(SCC(=O)Nc2cccc(C(F)(F)F)c2)nc1-c1ccccc1,IC50,200000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210823,CCCCc1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)c(C)c1,IC50,204173.79,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210823,CCCCc1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)c(C)c1,IC50,204173.79,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210823,CCCCc1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)c(C)c1,IC50,200000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210823,CCCCc1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)c(C)c1,IC50,200000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207381,CC(C)c1ccc(NC(=O)CSc2nccc(-c3csc(COc4ccccc4Cl)n3)n2)cc1,IC50,204173.79,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207381,CC(C)c1ccc(NC(=O)CSc2nccc(-c3csc(COc4ccccc4Cl)n3)n2)cc1,IC50,204173.79,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207381,CC(C)c1ccc(NC(=O)CSc2nccc(-c3csc(COc4ccccc4Cl)n3)n2)cc1,IC50,200000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL207381,CC(C)c1ccc(NC(=O)CSc2nccc(-c3csc(COc4ccccc4Cl)n3)n2)cc1,IC50,200000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210511,Cc1cc(O)nc(SCC(=O)Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,IC50,204173.79,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210511,Cc1cc(O)nc(SCC(=O)Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,IC50,204173.79,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210511,Cc1cc(O)nc(SCC(=O)Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,IC50,200000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
CHEMBL210511,Cc1cc(O)nc(SCC(=O)Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,IC50,200000.0,nM,,,CHEMBL871248,9,CHEMBL3927,CHEMBL1148632,7wqi,P0C6U8
